Category,Name,Density [kg/m^3],Poisson's Ratio,Young's Modulus [GPa],Q11 [GPa],Q22 [GPa],Q12 [GPa],Q66 [GPa],Q16 [GPa],Q26 [GPa],CTE_x [1/K],CTE_y [1/K],Available dimensions
Fiberglass,HongTex: E-DBL-680-30M,1979.12,0.523094,26.6313,29.5927,10.8226,5.66125,6.30456,0,0,6.16215e-06,5.38021e-06,{w:1270.0; t:0.49}
Fiberglass,HongTex: E-DBL-800-30M,1973.46,0.525263,26.4853,29.4696,10.8165,5.68153,6.32184,0,0,6.16486e-06,5.39365e-06,{w:1270.0; t:0.65}
Fiberglass,HongTex: E-DBL-950-30M,1976.89,0.562239,23.1944,26.93,11.8173,6.64415,7.28714,0,0,6.15111e-06,5.49073e-06,{w:317.5; t:0.22};{w:1270; t:0.22}
Fiberglass,HongTex: E-DBL-1150-30M,1979.85,0.496023,29.505,32.0184,10.2155,5.0671,5.7124,0,0,6.17063e-06,5.29597e-06,{w:1270; t:0.47}
Fiberglass,HongTex: 9 oz. Uni,2290.53,0.28,42.24,45.8333,45.8333,12.8333,16.5,0,0,6e-06,2.5e-05,{w:381; t:0.55};{w:323.8; t:0.55};{w:342.9};{w:381.0; t:0.55}; {w:1270; t:0.55}
Fiberglass,HongTex: 13 oz. Uni,1974.61,0.282038,41.4198,41.979,7.02982,1.98268,2.62701,0,0,6.16896e-06,4.72721e-06,{w:1270; t:0.66}
Fiberglass,HongTex: 17 oz. Uni,2955.9,0.28,42.24,45.8333,45.8333,12.8333,16.5,0,0,6e-06,2.5e-05,{w:1270; t:0.79}
Fiberglass,HongTex: K2-20,1965.74,0.138202,34.0914,34.3632,14.229,1.96648,2.60528,0,0,6.08081e-06,5.59422e-06,{w:1270.0; t:0.2}
Fiberglass,HongTex: K2-22,1968.75,0.148174,35.1332,35.4254,13.3087,1.972,2.61268,0,0,6.09054e-06,5.53138e-06,{w:1270.0; t:0.29};{w:40.0; t:0.29};{w:50.0; t:0.29}
Flax,BComp: AMPLITEX 5057-6,1340,0.342,35.34,35.8822,4.63525,1.58526,1.80288,0,0,8.73387e-06,7.07802e-06,{w:1270; t:0.37}
Carbon/Flax,BComp: Amplitex 115gsm-C 125gsm-F - 52mm,1450,0.33,48.2633,54.1615,54.1615,17.8733,18.1441,0,0,2e-06,2e-06,{w:1270.0; t:0.45};{w:317.5; t:0.45}
Carbon Fiber,A&P Technology: BIMAX 374,1520,0.863305,9.68789,38.0358,38.0358,32.8365,33.8656,0,0,-4.27013e-06,-4.27013e-06,{w:323.8; t:0.5};{w:355.6; t:0.5}
Carbon Fiber,A&P Technology: UNI-4.0-SM,1520,0.264,132.24,132.655,5.94883,1.57049,2.59965,0,0,-4.21767e-06,-5.20653e-06,{w:125; t:0.17};{w:310; t:0.17};{w:950.0; t:0.17}
