Category,Name,Density [kg/m^3],Poisson's Ratio,Young's Modulus [GPa],Q11 [GPa],Q22 [GPa],Q12 [GPa],Q66 [GPa],Q16 [GPa],Q26 [GPa],CTE_x [1/K],CTE_y [1/K],Available dimensions
Plastic,CPS: TP455,750,0.4,0.75,0.892857,0.892857,0.357143,0.267857,0,0,0.00015,0.00015,{t:0.6; w:325.0};{t:1.2; w:380.0}
Rubber,Semperit: Haberkorn Rubber,1070,0.499,0.003,0.00399468,0.00399468,0.00199334,0.00100067,0,0,0.0002,0.0002,{t:0.5; w:320.0};{t:0.5; w:330.0};{t:0.5; w:340.0};{t:0.5; w:360.0};{t:0.5; w:375.0};{t:0.5; w:485.0};{t:0.5; w:515.0};{t:0.5; w:580.0};{t:0.6; w:320.0};{t:0.6; w:340.0};{t:0.6; w:360.0};{t:0.6; w:375.0};{t:0.6; w:515.0};{t:0.6; w:570.0}
Urethane,Argotec: Urethane,1070,0.45,0.03,0.0376176,0.0376176,0.0169279,0.0103448,0,0,0.00015,0.00015,{t:0.5; w:320.0};{t:0.6; w:570.0}
Sidewall,CPS: ABS/TPU Sidewall,1070,0.38,2.3,2.68817,2.68817,1.02151,0.833333,0,0,9e-05,9e-05,
Sidewall,IMS Plast: CPAN 125 GT2 ABS,1070,0.38,2.3,2.68817,2.68817,1.02151,0.833333,0,0,9e-05,9e-05,
Sidewall,Crown: DS2000 UHMWPE,935,0.46,0.9,1.14155,1.14155,0.525114,0.308219,0,0,0.00015,0.00015,
PU Foam,BASF: Modipur injection foam,600,0.33,0.02034,0.0228257,0.0228257,0.00753249,0.00764662,0,0,7e-05,7e-05,{t:10.5; w:7.0; l:1450.0};{t:10.5; w:7.0; l:1480.0};{t:10.5; w:7.0; l:1500.0};{t:10.5; w:7.0; l:1550.0};{t:10.5; w:7.0; l:1620.0};{t:10.5; w:7.0; l:1650.0};{t:11.5; w:14.0; l:1500.0};{t:11.5; w:8.0; l:1650.0};{t:12.0; w:5.0; l:1400.0};{t:12.0; w:5.0; l:1455.0};{t:12.0; w:5.0; l:1500.0};{t:12.0; w:5.0; l:1530.0};{t:12.0; w:5.0; l:1575.0};{t:12.0; w:5.0; l:1600.0};{t:12.0; w:7.0; l:1550.0};{t:12.0; w:7.0; l:1600.0};{t:12.0; w:7.0; l:1620.0};{t:12.0; w:7.0; l:850.0};{t:12.0; w:7.0; l:900.0};{t:14.0; w:5.0; l:1540.0};{t:14.0; w:5.0; l:1650.0};{t:14.0; w:7.0; l:1650.0};{t:14.0; w:7.0; l:850.0};{t:14.0; w:7.0; l:900.0};{t:9.2; w:7.0; l:1350.0};{t:9.2; w:7.0; l:1450.0};{t:9.2; w:7.0; l:1500.0};{t:9.2; w:7.0; l:1550.0};{t:9.2; w:7.0; l:1600.0}
Precure laminate,Hexcell: G-R80 Laminate,1980,0.33,40.67907,45.6504,45.6504,15.0646,15.2929,0,0,8e-06,8e-06,{t:2.0};{t:2.5; w:350.0; l:1300.0};{t:4.0; w:350.0; l:1200.0};{t:4.0; w:350.0; l:1250.0};{t:4.0; w:350.0; l:1350.0};{t:4.0; w:350.0; l:1400.0};{t:4.0; w:350.0; l:1550.0};{t:4.0; w:350.0; l:1600.0};{t:5.0; w:350.0; l:1150.0};{t:5.0; w:350.0; l:1200.0};{t:5.0; w:350.0; l:1250.0};{t:5.0; w:350.0; l:1300.0};{t:5.0; w:350.0; l:1350.0};{t:5.0; w:350.0; l:1400.0};{t:5.0; w:350.0; l:1450.0};{t:5.0; w:350.0; l:1500.0};{t:5.0; w:350.0; l:1550.0};{t:5.0; w:350.0; l:1600.0};{t:5.0; w:350.0; l:1650.0};{t:5.0; w:350.0; l:1700.0};{t:5.0; w:350.0; l:1750.0};{t:5.0; w:350.0; l:950.0};{t:7.0; w:280.0; l:1300.0};{t:7.0; w:280.0; l:1400.0};{t:7.0; w:280.0; l:1500.0};{t:7.0; w:280.0; l:1600.0};{t:7.0; w:280.0; l:1650.0};{t:9.5; w:300.0; l:1650.0}
Precure laminate,Hexcell: G-EV R68,1980,0.33,40.67907,45.6504,45.6504,15.0646,15.2929,0,0,8e-06,8e-06,{t:0.5; w:260.0; l:1700.0};{t:2.5; w:250.0; l:1300.0};{t:3.0; w:260.0; l:1000.0};{t:5.0; w:250.0; l:1000.0};{t:5.0; w:250.0; l:1050.0};{t:5.0; w:250.0; l:1100.0};{t:5.0; w:250.0; l:1120.0};{t:5.0; w:250.0; l:1150.0};{t:5.0; w:250.0; l:1200.0};{t:5.0; w:250.0; l:1250.0};{t:5.0; w:250.0; l:1300.0};{t:5.0; w:250.0; l:1350.0};{t:5.0; w:250.0; l:1400.0};{t:5.0; w:250.0; l:1450.0};{t:5.0; w:250.0; l:1500.0};{t:5.0; w:250.0; l:1550.0};{t:5.0; w:250.0; l:1600.0};{t:5.0; w:250.0; l:1650.0};{t:5.0; w:250.0; l:1700.0};{t:5.0; w:250.0; l:1750.0};{t:5.0; w:250.0; l:1800.0};{t:7.0; w:250.0; l:1050.0};{t:7.0; w:250.0; l:1100.0};{t:7.0; w:250.0; l:1150.0};{t:7.0; w:250.0; l:1200.0};{t:7.0; w:250.0; l:1300.0};{t:7.0; w:250.0; l:1320.0};{t:7.0; w:250.0; l:1360.0};{t:7.0; w:250.0; l:1400.0};{t:7.0; w:250.0; l:1450.0};{t:7.0; w:250.0; l:1500.0};{t:7.0; w:250.0; l:1550.0};{t:7.0; w:250.0; l:1600.0};{t:7.0; w:250.0; l:1650.0};{t:7.0; w:250.0; l:1700.0};{t:7.0; w:250.0; l:950.0};{t:8.5; w:250.0; l:1120.0};{t:8.5; w:250.0; l:1150.0};{t:8.5; w:250.0; l:1200.0};{t:8.5; w:250.0; l:1250.0};{t:8.5; w:250.0; l:1270.0};{t:9.0; w:250.0; l:1300.0}
Precure laminate,Hexcell: G-EV 765R,1980,0.33,40.67907,45.6504,45.6504,15.0646,15.2929,0,0,8e-06,8e-06,
Precure laminate,Hexcell: G-EV R82,1980,0.33,40.67907,45.6504,45.6504,15.0646,15.2929,0,0,8e-06,8e-06,{t:1.0; w:1220.0; l:100.0};{t:1.0; w:60.0; l:100.0}
Steel,CDW: Kaltbandstahl C75S,8050,0.29,207,226.007,226.007,65.5421,80.2326,0,0,1.15e-05,1.15e-05,{t:0.7; w:1000.0}
3D Print,3D Printed ABS,970,0.38,2.3,2.68817,2.68817,1.02151,0.833333,0,0,9e-05,9e-05,{t:0.6; w:1200.0}
3D Print,3D Printed PP,900,0.44,1.6,1.98413,1.98413,0.873016,0.555556,0,0,0.00015,0.00015,{t:0.8; w:1200.0}
3D Print,3D Printed TPU,970,0.47,0.15,0.19253,0.19253,0.090489,0.0510204,0,0,0.00012,0.00012,{t:0.2; w:23.5};{t:0.2; w:47.0}
Carbon Fiber,Carbon Conversions: re-Evo MCF-SB 200gsm,1368.4,0.33,21.21841,23.8115,23.8115,7.85779,7.97685,0,0,1e-05,1e-05,
Wood,BComp: BCore 300 XL,300,0.33,6.2,6.95769,6.95769,2.29604,2.33083,0,0,4e-06,3.5e-05,
Plastic - Weighted,Ecomass: 4703ZC71 - TPU/SS - 3.0g/cc,3000,0.44,0.107,0.132688,0.132688,0.0583829,0.0371528,0,0,1.71e-05,1.71e-05,
Plastic - Weighted,Ecomass: 4703ZC76 - TPU/SS - 3.4g/cc,3400,0.43,0.125,0.153355,0.153355,0.0659428,0.0437063,0,0,1.7e-05,1.7e-05,
Plastic - Weighted,Ecomass: 4703ZC87 - TPU/SS - 4.5g/cc,4500,0.4,0.197,0.234524,0.234524,0.0938095,0.0703571,0,0,1.7e-05,1.7e-05,{t:12.0; w:122.0; l:200.0};{t:12.0; w:122.0; l:307.0};{t:14.0; w:140.0; l:1800.0};{t:14.0; w:140.0; l:1900.0};{t:14.0; w:143.0; l:1900.0};{t:14.0; w:158.0; l:1900.0};{t:15.0; w:140.0; l:1900.0};{w:120.0; l:1276.0};{w:140.0; l:2.0}
PU Material,Freudenberg: Enkamat 7210,10,0.33,1e-06,1.12221e-06,1.12221e-06,3.70329e-07,3.7594e-07,0,0,8e-05,8e-05,
Plastic,Desmovit: DP R 3918,1290,0.37,1.25,1.44827,1.44827,0.535859,0.456204,0,0,7e-06,0.000131,
Plastic,Geba: TPU 3918,1290,0.37,1.25,1.44827,1.44827,0.535859,0.456204,0,0,7e-06,0.000131,
Plastic,Geba: TPU 3919,1300,0.37,1.15,1.33241,1.33241,0.49299,0.419708,0,0,1.03e-05,0.000114,{w:1000};{w:1020}
Sidewall,Socrep: TPU 511/519,1200,0.499,0.005,0.0066578,0.0066578,0.00332224,0.00166778,0,0,0.00018,0.00018,
Carbon Fiber,ITOCHU: HS40 F22 12K 800 tex Carbon Roving,1577,0.3,140,140.8,9.051,2.715,5,0,0,-1e-06,2.5e-05,
Carbon Fiber,ITOCHU: HS40 E13 6K 400 tex Carbon Roving,1577,0.3,140,140.8,9.051,2.715,5,0,0,-1e-06,2.5e-05,
Injection,BASF: E1160D50 TPU,1120,0.48,0.12,0.155925,0.155925,0.0748441,0.0405405,0,0,0.000155,0.000155,{t:2.0; w:350.0; l:1700.0};{t:5.0; w:250.0; l:1700.0};{t:7.0; w:280.0; l:1540.0};{t:7.0; w:345.0; l:1250.0};{t:7.0; w:345.0; l:1300.0};{t:7.0; w:345.0; l:1420.0}
Injection,BASF: 1165D50STR TPU,1200,0.48,0.2,0.259875,0.259875,0.12474,0.0675676,0,0,0.00014,0.00014,
Injection,BASF: 1154D50 TPU,1170,0.48,0.09,0.116944,0.116944,0.0561331,0.0304054,0,0,0.000165,0.000165,
