Category,Name,Density [kg/m^3],Poisson's Ratio,Young's Modulus [Pa],Q11 [Pa],Q22 [Pa],Q12 [Pa],Q66 [Pa],Q16 [Pa],Q26 [Pa],Available dimensions
Precure laminate,Hexcell: G-R80 Laminate,1980,0.33,40679070000,45650400000,45650400000,15064630000,15292880000,0,0,{t:2.0};{t:2.5; w:350.0; l:1300.0};{t:4.0; w:350.0; l:1200.0};{t:4.0; w:350.0; l:1250.0};{t:4.0; w:350.0; l:1350.0};{t:4.0; w:350.0; l:1400.0};{t:4.0; w:350.0; l:1550.0};{t:4.0; w:350.0; l:1600.0};{t:5.0; w:350.0; l:1150.0};{t:5.0; w:350.0; l:1200.0};{t:5.0; w:350.0; l:1250.0};{t:5.0; w:350.0; l:1300.0};{t:5.0; w:350.0; l:1350.0};{t:5.0; w:350.0; l:1400.0};{t:5.0; w:350.0; l:1450.0};{t:5.0; w:350.0; l:1500.0};{t:5.0; w:350.0; l:1550.0};{t:5.0; w:350.0; l:1600.0};{t:5.0; w:350.0; l:1650.0};{t:5.0; w:350.0; l:1700.0};{t:5.0; w:350.0; l:1750.0};{t:5.0; w:350.0; l:950.0};{t:7.0; w:280.0; l:1300.0};{t:7.0; w:280.0; l:1400.0};{t:7.0; w:280.0; l:1500.0};{t:7.0; w:280.0; l:1600.0};{t:7.0; w:280.0; l:1650.0};{t:9.5; w:300.0; l:1650.0}
Precure laminate,Hexcell: G-EV R68,1980,0.33,40679070000,45650400000,45650400000,15064630000,15292880000,0,0,{t:0.5; w:260.0; l:1700.0};{t:2.5; w:250.0; l:1300.0};{t:3.0; w:260.0; l:1000.0};{t:5.0; w:250.0; l:1000.0};{t:5.0; w:250.0; l:1050.0};{t:5.0; w:250.0; l:1100.0};{t:5.0; w:250.0; l:1120.0};{t:5.0; w:250.0; l:1150.0};{t:5.0; w:250.0; l:1200.0};{t:5.0; w:250.0; l:1250.0};{t:5.0; w:250.0; l:1300.0};{t:5.0; w:250.0; l:1350.0};{t:5.0; w:250.0; l:1400.0};{t:5.0; w:250.0; l:1450.0};{t:5.0; w:250.0; l:1500.0};{t:5.0; w:250.0; l:1550.0};{t:5.0; w:250.0; l:1600.0};{t:5.0; w:250.0; l:1650.0};{t:5.0; w:250.0; l:1700.0};{t:5.0; w:250.0; l:1750.0};{t:5.0; w:250.0; l:1800.0};{t:7.0; w:250.0; l:1050.0};{t:7.0; w:250.0; l:1100.0};{t:7.0; w:250.0; l:1150.0};{t:7.0; w:250.0; l:1200.0};{t:7.0; w:250.0; l:1300.0};{t:7.0; w:250.0; l:1320.0};{t:7.0; w:250.0; l:1360.0};{t:7.0; w:250.0; l:1400.0};{t:7.0; w:250.0; l:1450.0};{t:7.0; w:250.0; l:1500.0};{t:7.0; w:250.0; l:1550.0};{t:7.0; w:250.0; l:1600.0};{t:7.0; w:250.0; l:1650.0};{t:7.0; w:250.0; l:1700.0};{t:7.0; w:250.0; l:950.0};{t:8.5; w:250.0; l:1120.0};{t:8.5; w:250.0; l:1150.0};{t:8.5; w:250.0; l:1200.0};{t:8.5; w:250.0; l:1250.0};{t:8.5; w:250.0; l:1270.0};{t:9.0; w:250.0; l:1300.0}
Precure laminate,Hexcell: G-EV 765R,1980,0.33,40679070000,45650400000,45650400000,15064630000,15292880000,0,0,
Precure laminate,Hexcell: G-EV R82,1980,0.33,40679070000,45650400000,45650400000,15064630000,15292880000,0,0,{t:1.0; w:1220.0; l:100.0};{t:1.0; w:60.0; l:100.0}
Steel,CDW: Kaltbandstahl C75S,8050,0.33,2.07E+11,2.32E+11,2.32E+11,76599820000,77760420000,0,0,{t:0.7; w:1000.0}
3D Print,3D Printed ABS,970,0.33,2068430000,2324663736,2324663736,771788360,776437688,0,0,{t:0.6; w:1200.0}
3D Print,3D Printed PP,970,0.33,2068430000,2324663736,2324663736,771788360,776437688,0,0,{t:0.8; w:1200.0}
3D Print,3D Printed TPU,970,0.33,2068430000,2324663736,2324663736,771788360,776437688,0,0,{t:0.2; w:23.5};{t:0.2; w:47.0}
Carbon Fiber,Carbon Conversions: re-Evo MCF-SB 200gsm,1368.4,0.33,21218410000,23846912032,23846912032,7917174795,7964868619,0,0,
Wood,BComp: BCore 300 XL,300,0.33,6200000000,6968045890,6968045890,2313391236,2327327327,0,0,
Plastic - Weighted,Ecomass: 4703ZC71 - TPU/SS - 3.0g/cc,3000,0.33,51700000000,58104511697,58104511697,19290697884,19406906907,0,0,
Plastic - Weighted,Ecomass: 4703ZC76 - TPU/SS - 3.4g/cc,3400,0.33,51700000000,58104511697,58104511697,19290697884,19406906907,0,0,
Plastic - Weighted,Ecomass: 4703ZC87 - TPU/SS - 4.5g/cc,4500,0.33,72400000000,81368793944,81368793944,27014439589,27177177177,0,0,{t:12.0; w:122.0; l:200.0};{t:12.0; w:122.0; l:307.0};{t:14.0; w:140.0; l:1800.0};{t:14.0; w:140.0; l:1900.0};{t:14.0; w:143.0; l:1900.0};{t:14.0; w:158.0; l:1900.0};{t:15.0; w:140.0; l:1900.0};{w:120.0; l:1276.0};{w:140.0; l:2.0}
PU Material,Freudenberg: Enkamat 7210,10,0.33,1000,1124,1124,373,375,0,0,
Plastic,Desmovit: DP R 3918,970,0.33,2068430000,2324663736,2324663736,771788360,776437688,0,0,
Plastic,Geba: TPU 3918,1370,0.33,2068430000,2324663736,2324663736,771788360,776437688,0,0,
Plastic,Geba: TPU 3919,1370,0.33,2068430000,2324663736,2324663736,771788360,776437688,0,0,{w:1000};{w:1020}
Sidewall,Socrep: TPU 511/519,1200,0.33,20000000,22477567,22477567,7462552,7507508,0,0,
Carbon Fiber,ITOCHU: HS40 F22 12K 800 tex Carbon Roving,1577,0.33,68947570000,77373550000,77373550000,25533270000,25920140000,0,0,
Carbon Fiber,ITOCHU: HS40 E13 6K 400 tex Carbon Roving,1577,0.33,68947570000,77373550000,77373550000,25533270000,25920140000,0,0,
Injection,BASF: E1160D50 TPU,1370,0.33,2068430000,2324663736,2324663736,771788360,776437688,0,0,{t:2.0; w:350.0; l:1700.0};{t:5.0; w:250.0; l:1700.0};{t:7.0; w:280.0; l:1540.0};{t:7.0; w:345.0; l:1250.0};{t:7.0; w:345.0; l:1300.0};{t:7.0; w:345.0; l:1420.0}
Injection,BASF: 1165D50STR TPU,1370,0.33,2068430000,2324663736,2324663736,771788360,776437688,0,0,
Injection,BASF: 1154D50 TPU,1370,0.33,2068430000,2324663736,2324663736,771788360,776437688,0,0,
