Category,Name,Density [kg/m^3],Poisson's Ratio,Young's Modulus [Pa],Q11 [Pa],Q22 [Pa],Q12 [Pa],Q66 [Pa],Q16 [Pa],Q26 [Pa],Available dimensions
Fiberglass,HongTex: E-DBL-950-30M,1976.88987,0.3,21079034.75,24331998.58,11179794.38,6030544.476,6584635.095,0,0,{w:317.5; t:0.22};{w:1270; t:0.22}
Fiberglass,HongTex: E-DBL-1150-30M,1979.852828,0.3,26586196.44,28809112.52,9797684.209,4666843.665,5238087.43,0,0,{w:1270; t:0.47}
Fiberglass,HongTex: 9 oz. Uni,2290.53,0.28,42240000000,42808906328,7153894774,2017398326,6549295775,0,0,{w:381; t:0.55};{w:323.8; t:0.55};{w:342.9};{w:381.0; t:0.55}; {w:1270; t:0.55}
Fiberglass,HongTex: 13 oz. Uni,1974.610389,0.28,36803112.44,37360196.76,6990300.639,1973369.427,2594632.833,0,0,{w:1270; t:0.66}
Fiberglass,HongTex: 17 oz. Uni,2955.9,0.28,42240000000,42808906328,7153894774,2017398326,6549295775,0,0,{w:1270; t:0.79}
Fiberglass,HongTex: K2-20,1965.741579,0.15,30285012.03,30574055.84,13179913.35,1951812.569,2558493.55,2.49E-12,3.82E-10,{w:1270.0; t:0.2}
Fiberglass,HongTex: K2-22,1968.749298,0.16,31241154.34,31550540.67,12405731.84,1959123.244,2570749.629,2.17E-12,3.33E-10,{w:1270.0; t:0.29};{w:40.0; t:0.29};{w:50.0; t:0.29}
Flax,BComp: AMPLITEX 5057-6,1340,0.34,31800000,32343085.24,4643182.869,1587968.541,1802884.615,0,0,{w:1270; t:0.37}
Carbon/Flax,BComp: Amplitex 115gsm-C 125gsm-F - 52mm,1450,0.33,48263300000,54161490000,54161490000,17873290000,18144100000,0,0,{w:1270.0; t:0.45};{w:317.5; t:0.45}
Carbon Fiber,A&P Technology: BIMAX 374,1520,0.68,9617355.592,34601621.16,34601621.16,29402314.4,30430906.72,0,0,{w:323.8; t:0.5};{w:355.6; t:0.5}
Carbon Fiber,A&P Technology: UNI-4.0-SM,1520,0.26,118500000,118914760.1,5950988.879,1571061.064,2599653.38,0,0,{w:125; t:0.17};{w:310; t:0.17};{w:950.0; t:0.17}
Carbon Fiber,HongTex: TWILL-3K,1520,0.33,62393340.31,62432874.5,62432874.5,1571061.064,2599653.38,2.51E-11,3.43E-09,{w:60; t:0.25}
Precure laminate,Hexcel: Polyspeed GC-EV 530B,1770.44487,0.23,74878543.48,75302730.94,7710679.159,1808527.96,2638746.912,4.44E-13,6.81E-11,{w:1270; t:0.38}
Precure laminate,Hexcel: Polyspeed GC-EV 750B,1790.189789,0.25,67706488.45,68160756.28,7359536.779,1828442.179,2641829.022,2.97E-13,4.33E-11,{w:150; t:0.14}
Precure laminate,Hexcel: Polyspeed GC-EV BB566,1905.123337,0.4,13497414.87,20605391.06,19145066.84,11665448.09,12285402.9,0,0,{w:1270; t:0.22}
Precure laminate,Hexcel: Polyspeed HMGC-EV 606B,1892.86251,0.24,54169654.01,54637429.54,7918526.034,1924601.957,2657855.86,4.02E-13,6.16E-11,{t:0.35}
Precure laminate,Hexcel: Polyspeed NR-C/Flax EV 405B,1515.157859,0.25,70488078.87,70893418.75,6659663.807,1642993.412,2285316.652,4.23E-13,6.49E-11,{t:0.55}
Precure laminate,Hexcel: G-EV 696R,1994,0.15,31598370.79,31895066.45,13759602.56,2020498.534,2673643.054,2.62E-12,4.01E-10,{t:0.55}
Fleece,Nico Fiber,1980,0.33,3447380000,3868680000,3868680000,1276660000,1296010000,0,0,{t:0.42}
Binding Mat,Owens Corning: GLASS MAT M723 450gsm,1994,0.33,7075200,7686457.876,7686457.876,2167581.121,427782.8887,0,0,{t:0.5}
Binding Mat,Owens Corning: GLASS MAT M723 600gsm,1994,0.33,7075200,7686457.876,7686457.876,2167581.121,427782.8887,0,0,{t:0.5; w:1200.0}
Braid,Glass - Braid,1980,0.33,9652660.206,10832297.39,10832297.39,3574658.139,3628819.626,0,0,{w:1270; t:0.2}
Braid,Glass - Rovings in braid,1980,0.33,40679068.01,45650396.15,45650396.15,15064630.73,15292882.71,0,0,
Fleece,XuRui: G50 Fleece Veil,1577,0.33,3447380000,3868680000,3868680000,1276660000,1296010000,0,0,
Fleece,XuRui:G100 Fleece Veil,1577,0.33,3447380000,3868680000,3868680000,1276660000,1296010000,0,0,
Core - Wood,Ash,680,0.33,12310000,13814386.71,13814386.71,4558747.615,4627819.549,0,0,
Core - Wood,Aspen,450,0.33,9750000,10941532.94,10941532.94,3610705.869,3665413.534,0,0,{w:1000; t:0.15}
Core - Wood,Paulownia,280,0.33,5600000,6284367.636,6284367.636,2073841.32,2105263.158,0,0,{w:1270; t:0.3}
Core - Wood,Hard Maple,705,0.33,12620000,14162271.35,14162271.35,4673549.546,4744360.902,0,0,
